learning_rate,batch_size,weight_decay,epochs,val_accuracy,val_f1_score
7e-05,8,0.01,4,0.8332239001969797,0.7924836601307189
7e-05,8,0.01,6,0.8063033486539725,0.774292272379495
7e-05,8,0.01,8,0.7905449770190414,0.7617625093353249
7e-05,8,0.05,4,0.8049901510177282,0.7808118081180812
7e-05,8,0.05,6,0.7760998030203545,0.7603654251581167
7e-05,8,0.05,8,0.7537754432042022,0.7450713800135962
7e-05,8,0.1,4,0.824688115561392,0.7941403238242097
7e-05,8,0.1,6,0.81483913328956,0.7779527559055118
7e-05,8,0.1,8,0.799080761654629,0.7726597325408618
7e-05,8,0.15,4,0.8082731451083388,0.7402135231316725
7e-05,8,0.15,6,0.8233749179251477,0.7771333885666943
7e-05,8,0.15,8,0.7852921864740644,0.7554225878833208
7e-05,8,0.2,4,0.824688115561392,0.7902592301649647
7e-05,8,0.2,6,0.8049901510177282,0.7765237020316027
7e-05,8,0.2,8,0.8168089297439265,0.772986167615948
7e-05,16,0.01,4,0.8161523309258043,0.7842835130970724
7e-05,16,0.01,6,0.804333552199606,0.7792592592592592
7e-05,16,0.01,8,0.814182534471438,0.7814671814671814
7e-05,16,0.05,4,0.8063033486539725,0.7776940467219292
7e-05,16,0.05,6,0.8266579120157583,0.7821782178217822
7e-05,16,0.05,8,0.804333552199606,0.7725190839694657
7e-05,16,0.1,4,0.8253447143795141,0.7892234548335975
7e-05,16,0.1,6,0.8108995403808273,0.7767441860465116
7e-05,16,0.1,8,0.8200919238345371,0.791476407914764
7e-05,16,0.15,4,0.8154957321076822,0.785986290936786
7e-05,16,0.15,6,0.8049901510177282,0.7727620504973222
7e-05,16,0.15,8,0.7793827971109653,0.7640449438202247
7e-05,16,0.2,4,0.8338804990151018,0.7977617905675459
7e-05,16,0.2,6,0.7859487852921865,0.7664756446991404
7e-05,16,0.2,8,0.8122127380170716,0.7903225806451613
7e-05,32,0.01,4,0.8319107025607354,0.7948717948717948
7e-05,32,0.01,6,0.8102429415627052,0.7835205992509363
7e-05,32,0.01,8,0.7957977675640184,0.7741466957153231
7e-05,32,0.05,4,0.8161523309258043,0.7822706065318819
7e-05,32,0.05,6,0.8108995403808273,0.7857142857142857
7e-05,32,0.05,8,0.7931713722915299,0.7712418300653595
7e-05,32,0.1,4,0.8010505581089954,0.7720090293453724
7e-05,32,0.1,6,0.8207485226526592,0.7672634271099744
7e-05,32,0.1,8,0.8161523309258043,0.7770700636942676
7e-05,32,0.15,4,0.8181221273801708,0.7864302235929067
7e-05,32,0.15,6,0.7846355876559422,0.768688293370945
7e-05,32,0.15,8,0.8181221273801708,0.7757085020242915
7e-05,32,0.2,4,0.8233749179251477,0.7966742252456538
7e-05,32,0.2,6,0.7793827971109653,0.7637130801687764
7e-05,32,0.2,8,0.778069599474721,0.7626404494382022
