learning_rate,batch_size,weight_decay,epochs,val_accuracy,val_f1_score
1e-05,8,0.01,4,0.8279711096520026,0.7975270479134468
1e-05,8,0.01,6,0.8095863427445831,0.7873900293255132
1e-05,8,0.01,8,0.7957977675640184,0.7783321454027085
1e-05,8,0.05,4,0.8305975049244911,0.7824620573355817
1e-05,8,0.05,6,0.8286277084701248,0.7975174553917765
1e-05,8,0.05,8,0.8220617202889035,0.7907335907335908
1e-05,8,0.1,4,0.8319107025607354,0.7990580847723705
1e-05,8,0.1,6,0.8371634931057124,0.8006430868167203
1e-05,8,0.1,8,0.8292843072882469,0.7971918876755072
1e-05,8,0.15,4,0.7708470124753776,0.7652992602555481
1e-05,8,0.15,6,0.7872619829284307,0.7702127659574469
1e-05,8,0.15,8,0.8214051214707814,0.7858267716535434
1e-05,8,0.2,4,0.8095863427445831,0.7883211678832118
1e-05,8,0.2,6,0.824688115561392,0.7813267813267813
1e-05,8,0.2,8,0.8286277084701248,0.7923627684964201
1e-05,16,0.01,4,0.8240315167432699,0.7981927710843373
1e-05,16,0.01,6,0.799080761654629,0.7801724137931034
1e-05,16,0.01,8,0.7984241628365069,0.7780187997107737
1e-05,16,0.05,4,0.8240315167432699,0.7954198473282441
1e-05,16,0.05,6,0.8345370978332239,0.7993630573248408
1e-05,16,0.05,8,0.7957977675640184,0.7786476868327403
1e-05,16,0.1,4,0.793827971109652,0.7766714082503555
1e-05,16,0.1,6,0.8128693368351937,0.7890451517394523
1e-05,16,0.1,8,0.7793827971109653,0.7698630136986302
1e-05,16,0.15,4,0.8489822718319107,0.8073701842546064
1e-05,16,0.15,6,0.8378200919238346,0.802873104549082
1e-05,16,0.15,8,0.8003939592908733,0.7758112094395281
1e-05,16,0.2,4,0.7879185817465528,0.7749128919860628
1e-05,16,0.2,6,0.7774130006565988,0.7676490747087047
1e-05,16,0.2,8,0.8115561391989494,0.7875647668393781
1e-05,32,0.01,4,0.7504924491135916,0.7459893048128343
1e-05,32,0.01,6,0.747209455022981,0.7508090614886731
1e-05,32,0.01,8,0.8253447143795141,0.793798449612403
1e-05,32,0.05,4,0.8095863427445831,0.7877013177159589
1e-05,32,0.05,6,0.8194353250164149,0.7924528301886792
1e-05,32,0.05,8,0.7951411687458962,0.7780938833570413
1e-05,32,0.1,4,0.8023637557452397,0.7738542449286252
1e-05,32,0.1,6,0.7734734077478661,0.7661016949152543
1e-05,32,0.1,8,0.8220617202889035,0.7897595034910784
1e-05,32,0.15,4,0.8358502954694682,0.7970779220779222
1e-05,32,0.15,6,0.8063033486539725,0.7806691449814126
1e-05,32,0.15,8,0.8299409061063691,0.7990690457719162
1e-05,32,0.2,4,0.7957977675640184,0.7760979121670265
1e-05,32,0.2,6,0.81483913328956,0.7917282127031018
1e-05,32,0.2,8,0.8036769533814839,0.7838033261026752
